Date,Ticker,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Fiscal Year Ends,Most Recent Quarter  (mrq),Profit Margin,Operating Margin  (ttm),Return on Assets  (ttm),Return on Equity  (ttm),Revenue  (ttm),Revenue Per Share  (ttm),Quarterly Revenue Growth  (yoy),Gross Profit  (ttm),EBITDA,Net Income Avi to Common  (ttm),Diluted EPS  (ttm),Quarterly Earnings Growth  (yoy),Total Cash  (mrq),Total Cash Per Share  (mrq),Total Debt  (mrq),Total Debt/Equity  (mrq),Current Ratio  (mrq),Book Value Per Share  (mrq),Operating Cash Flow  (ttm),Levered Free Cash Flow  (ttm),Beta (5Y Monthly),52 Week Range3,S&P 500 52-Week Change3,52 Week High3,52 Week Low3,50-Day Moving Average3,200-Day Moving Average3,Avg Vol (3 month)3,Avg Vol (10 day)3,Shares Outstanding5,Implied Shares Outstanding6,Float8,% Held by Insiders1,% Held by Institutions1,Shares Short (6/28/2024)4,Short Ratio (6/28/2024)4,Short % of Float (6/28/2024)4,Short % of Shares Outstanding (6/28/2024)4,Shares Short (prior month 5/31/2024)4,Forward Annual Dividend Rate4,Forward Annual Dividend Yield4,Trailing Annual Dividend Rate3,Trailing Annual Dividend Yield3,5 Year Average Dividend Yield4,Payout Ratio4,Dividend Date3,Ex-Dividend Date4,Last Split Factor2,Last Split Date3,Shares Short (8/31/2018)4,Short Ratio (8/31/2018)4,Short % of Float (8/31/2018)4,Short % of Shares Outstanding (8/31/2018)4,Shares Short (prior month 7/31/2018)4,Shares Short4,Short Ratio4,Short % of Float4,Short % of Shares Outstanding4,Shares Short (prior month )4
2024-07-23,MMM,58.09B,69.27B,16.99,14.24,1.9,1.78,11.94,2.12,11.33,12/31/2023,3/31/2024,-21.57%,21.70%,7.58%,-69.29%,32.65B,58.89,-0.30%,--,8.15B,-7.04B,-12.73,-4.90%,10.97B,19.83,22.26B,451.17%,1.64,8.79,6.17B,8.9B,1,14.31%,21.83%,106.04,71.36,101.38,88.22,4.57M,3.44M,553.36M,553.89M,552.65M,0.11%,66.54%,8.07M,1.64,1.46%,1.46%,9.35M,2.8,2.67%,6.01,5.73%,4.35,61.67%,6/12/2024,5/23/2024,1196:1000,4/1/2024,,,,,,,,,,
2024-07-23,AOS,13.03B,12.87B,23.07,21.79,--,3.45,6.92,3.33,15.27,12/31/2023,3/31/2024,14.94%,19.66%,14.31%,31.44%,3.87B,25.94,1.30%,--,825.1M,577.3M,3.85,16.30%,303.1M,2.07,146.1M,7.76%,1.65,12.83,657M,454.98M,1.14,18.15%,21.83%,92.45,64.14,84.09,80.77,893.44k,1.05M,120.78M,146.67M,118.53M,0.85%,99.02%,3.54M,4.0,2.95%,2.41%,3.46M,1.28,1.44%,1.24,1.40%,1.76,32.21%,8/15/2024,7/31/2024,2:01,10/6/2016,,,,,,,,,,
2024-07-23,ABT,180.43B,188.37B,32.72,22.22,4.2,4.45,4.65,4.63,21.23,12/31/2023,6/30/2024,13.65%,16.20%,--,--,40.73B,23.41,4.00%,--,10.49B,5.54B,3.17,-5.30%,6.65B,3.82,14.71B,37.66%,--,22.31,--,--,0.72,-8.16%,21.83%,121.64,89.67,103.84,106.6,5.96M,8.12M,1.74B,1.74B,1.73B,0.52%,76.94%,13M,2.17,0.75%,0.75%,14.5M,2.2,2.12%,2.16,2.08%,1.61,66.88%,8/15/2024,7/15/2024,10000:4798,1/2/2013,,,,,,,,,,
2024-07-23,ABBV,306.57B,362.50B,51.67,15.8,0.46,5.66,38.29,6.66,19.59,12/31/2023,3/31/2024,11.02%,28.29%,7.71%,56.24%,54.4B,30.77,0.70%,--,26.12B,5.95B,3.37,472.80%,18.07B,10.23,74.36B,924.06%,0.94,4.53,22.69B,23.61B,0.62,22.58%,21.83%,182.89,135.85,166.25,161.89,5.47M,4.35M,1.77B,1.77B,1.76B,0.10%,72.72%,16.22M,2.53,0.92%,0.92%,16.49M,6.2,3.57%,6.06,3.49%,4.34,178.27%,8/15/2024,7/15/2024,--,--,,,,,,,,,,
2024-07-23,ACN,207.65B,206.71B,30.36,25.58,2.15,3.28,7.48,3.21,19.16,8/31/2023,5/31/2024,10.79%,16.45%,12.24%,26.00%,64.48B,102.89,-0.60%,--,11.28B,6.95B,10.91,-3.90%,5.54B,8.85,4.6B,16.08%,1.16,44.28,9.15B,8.05B,1.23,4.38%,21.83%,387.51,278.69,301.83,329.49,3.69M,3.7M,626.38M,626.38M,625.23M,0.13%,73.62%,7.47M,1.58,1.19%,1.19%,8.21M,5.16,1.56%,5.16,1.56%,1.34,45.70%,8/15/2024,7/11/2024,--,--,,,,,,,,,,
2024-07-23,ADBE,246.01B,244.03B,49.94,30.58,2.13,12.4,16.57,11.95,32.81,12/1/2023,5/31/2024,24.86%,35.51%,15.63%,34.22%,20.43B,45.06,10.20%,--,7.84B,5.08B,11.1,21.50%,8.06B,18.19,6.09B,41.03%,1.16,33.06,6.58B,6.56B,1.3,5.61%,21.83%,638.25,433.97,510.02,546.18,3.36M,2.27M,443.4M,446.09M,442.23M,0.21%,87.21%,6.95M,1.45,1.57%,1.57%,7.08M,--,--,0.0,0.00%,0.12,0.00%,--,3/24/2005,2:01,5/24/2005,,,,,,,,,,
2024-07-23,AMD,251.93B,248.90B,225.9,45.66,1.43,11.16,4.48,10.92,60.06,12/30/2023,3/30/2024,4.90%,0.66%,0.54%,2.01%,22.8B,14.11,2.20%,--,3.84B,1.12B,0.69,--,6.03B,3.73,3B,5.34%,2.64,34.73,1.7B,2.39B,1.68,37.94%,21.83%,227.3,93.12,163.78,152.81,51.35M,56.42M,1.62B,1.62B,1.61B,0.45%,73.10%,41.62M,0.8,2.59%,2.57%,38.85M,--,--,0.0,0.00%,--,0.00%,--,4/27/1995,2:01,8/22/2000,,,,,,,,,,
2024-07-23,AES,12.45B,39.67B,24.0,9.17,1.25,1.0,4.29,3.17,15.09,12/31/2023,3/31/2024,4.24%,17.63%,3.24%,-1.48%,12.51B,18.56,-4.80%,--,3.41B,517M,0.73,186.10%,2.39B,3.36,30.48B,391.65%,0.78,4.08,2.7B,-6.41B,1.08,-19.89%,21.83%,22.21,11.43,19.37,17.4,7.81M,7.24M,710.67M,710.67M,706.9M,0.48%,96.75%,21.79M,2.79,4.67%,3.07%,17.49M,0.68,3.90%,0.68,3.86%,3.04,91.81%,8/15/2024,8/1/2024,2:01,6/2/2000,,,,,,,,,,
2024-07-23,AFL,53.70B,59.88B,10.4,14.53,--,2.86,2.28,3.08,--,12/31/2023,3/31/2024,27.67%,40.78%,3.03%,24.70%,19.34B,32.94,13.30%,--,6.32B,5.35B,9.09,58.20%,8.44B,14.85,11.76B,49.97%,1.53,41.27,3.15B,4.8B,0.95,30.34%,21.83%,95.49,71.97,89.08,83.57,2.13M,2.08M,568.22M,568.22M,563.07M,9.93%,60.43%,14.9M,6.29,2.64%,2.62%,15.01M,2,2.12%,1.76,1.86%,2.38,19.36%,6/3/2024,5/21/2024,2:01,3/19/2018,,,,,,,,,,
2024-07-23,A,38.93B,39.81B,31.62,23.2,2.86,5.96,6.26,6.04,23.77,10/31/2023,4/30/2024,18.84%,23.71%,7.82%,20.71%,6.59B,22.53,-8.40%,--,1.61B,1.24B,4.22,2.00%,1.67B,5.73,2.73B,43.87%,2.15,21.31,1.9B,924.25M,1.05,4.80%,21.83%,155.35,96.8,136.72,131.92,2.03M,1.62M,291.76M,291.76M,290.64M,0.28%,92.27%,4.15M,1.37,1.61%,1.42%,4.42M,0.94,0.71%,0.92,0.69%,0.68,21.85%,7/24/2024,7/2/2024,1398:1000,11/3/2014,,,,,,,,,,
